0.6847826086956522,0.4,0.6195652173913043,0.040293040293040296,0.75,0.9018181818181819,0.9523809523809523,0.4909090909090909,0.9454545454545454,0.5311355311355311,0.8327272727272728,0.6847826086956522,0.7883211678832117,0.9743589743589743,0.855072463768116,0.9854545454545455,0.6545454545454545,0.781021897810219,0.8405797101449275,0.6557971014492754
189,1,0,2,0,1,0,2,0,0,2,0,1,0,1,1,4,8,64,0
2,110,0,2,2,11,0,0,0,20,18,2,1,0,0,0,35,34,38,0
77,0,171,0,0,1,0,0,0,0,3,2,4,0,0,0,0,10,8,0
29,2,0,11,0,1,0,4,0,4,0,5,8,0,0,0,3,13,193,0
0,1,0,0,207,23,0,0,1,0,22,0,0,2,1,15,4,0,0,0
0,0,0,0,0,248,0,1,0,1,0,3,1,0,0,3,4,7,7,0
0,0,0,0,3,0,260,0,6,0,0,0,0,0,3,0,0,1,0,0
2,0,0,1,0,18,0,135,0,0,1,6,1,1,0,4,18,1,87,0
0,0,0,0,0,0,0,0,260,0,0,0,0,0,14,0,0,0,0,1
4,1,0,0,2,5,0,0,0,145,0,2,14,1,0,0,0,80,19,0
1,1,0,0,3,0,0,0,2,0,229,3,29,0,4,2,0,1,0,0
4,0,13,0,0,6,1,0,0,1,0,189,46,2,2,0,3,7,2,0
4,2,0,0,0,5,0,0,0,9,5,20,216,0,0,0,1,7,5,0
0,0,0,0,0,0,0,0,1,0,2,0,0,266,1,3,0,0,0,0
0,0,0,0,1,4,4,0,29,0,0,0,0,1,236,1,0,0,0,0
0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,271,0,0,0,0
1,1,0,1,5,53,0,6,1,0,4,3,0,0,4,0,180,3,13,0
7,15,0,0,0,4,0,0,0,14,0,4,3,0,0,0,1,214,12,0
12,1,0,7,0,2,0,4,0,0,0,1,5,0,0,2,2,8,232,0
0,0,0,0,2,0,0,0,29,0,14,0,0,0,0,50,0,0,0,181
